Transaction_Type,Property_Type,Municipality,Neighborhood,Price,Land_Area,Construction_Area,Price_per_SqMeter_Land,Price_per_SqMeter_Construction
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,25500.0,,,,
Rental,Departamento,ZAPOPAN,JOCOTAN,19700.0,,,,
Rental,Casa,ZAPOPAN,CIUDAD BUGAMBILIAS,33000.0,,,,
Rental,Casa,TLAJOMULCO,,14500.0,,,,
Rental,Departamento,GUADALAJARA,,23500.0,,,,
Rental,Departamento,ZAPOPAN,,17000.0,,,,
Rental,Departamento,ZAPOPAN,,65000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,25000.0,,,,
Rental,Departamento,GUADALAJARA,VALLARTA SAN JORGE,28000.0,,,,
Rental,Casa,ZAPOPAN,EL REAL,31000.0,,,,
Rental,Casa,TLAJOMULCO,,22500.0,,,,
Rental,Casa,ZAPOPAN,,87000.0,,,,
Rental,Casa,ZAPOPAN,,45000.0,,,,
Rental,Casa,ZAPOPAN,PARQUE VIRREYES,75000.0,,,,
Rental,Casa,ZAPOPAN,VICTORIA,30000.0,,,,
Rental,Departamento,ZAPOPAN,VALLE REAL,25000.0,,,,
Rental,Departamento,ZAPOPAN,SANTA FE,23000.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,23000.0,,,,
Rental,Departamento,GUADALAJARA,,23000.0,,,,
Rental,Casa,ZAPOPAN,EL BAJO HABITAT 2,46000.0,,,,
Rental,Departamento,ZAPOPAN,,16000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,18500.0,,,,
Rental,Departamento,ZAPOPAN,,14000.0,,,,
Rental,Casa,GUADALAJARA,HERNANDEZ ROMO,3900.0,,,,
Rental,Casa,TLAJOMULCO,ALTA CALIFORNIA,7900.0,,,,
Rental,Casa,ZAPOPAN,OLIVOS RESIDENCIAL,53000.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,25000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,31000.0,,,,
Rental,Casa,TLAJOMULCO,VALLE DE LOS ENCINOS,3000.0,,,,
Rental,Casa,ZAPOPAN,,76000.0,,,,
Rental,Departamento,ZAPOPAN,,16500.0,,,,
Rental,Casa,TLAJOMULCO,,17000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,30000.0,,,,
Rental,Departamento,ZAPOPAN,PUERTA DE HIERRO,29000.0,,,,
Rental,Departamento,ZAPOPAN,,14500.0,,,,
Rental,Departamento,GUADALAJARA,VALLARTA SAN JORGE,42000.0,,,,
Rental,Casa,ZAPOPAN,,26700.0,,,,
Rental,Casa,ZAPOPAN,CIUDAD GRANJA,19000.0,,,,
Rental,Casa,ZAPOPAN,,26000.0,,,,
Rental,Departamento,GUADALAJARA,JARDINES DEL BOSQUE,22500.0,,,,
Rental,Departamento,GUADALAJARA,,21000.0,,,,
Rental,Departamento,GUADALAJARA,,22200.0,,,,
Rental,Casa,TLAJOMULCO,,19500.0,,,,
Rental,Departamento,ZAPOPAN,EL VIGIA,10700.0,,,,
Rental,Departamento,GUADALAJARA,,16000.0,,,,
Rental,Departamento,TLAQUEPAQUE,LOMAS DE TLAQUEPAQUE,12000.0,,,,
Rental,Departamento,GUADALAJARA,OBRERA,28000.0,,,,
Rental,Departamento,TLAQUEPAQUE,PAISAJES DEL TESORO,15500.0,,,,
Rental,Departamento,GUADALAJARA,OLIMPICA,11000.0,,,,
Rental,Departamento,GUADALAJARA,COUNTRY CLUB,30000.0,,,,
Rental,Departamento,ZAPOPAN,,23000.0,,,,
Rental,Departamento,ZAPOPAN,LA ESTANCIA,12500.0,,,,
Rental,Departamento,GUADALAJARA,VALLARTA NORTE,25000.0,,,,
Rental,Casa,ZAPOPAN,,15500.0,,,,
Rental,Casa,ZAPOPAN,OLIVOS RESIDENCIAL,47000.0,,,,
Rental,Departamento,GUADALAJARA,AYUNTAMIENTO,21600.0,,,,
Rental,Casa,ZAPOPAN,,31000.0,,,,
Rental,Departamento,GUADALAJARA,ARCOS VALLARTA,24000.0,,,,
Rental,Departamento,ZAPOPAN,,58000.0,,,,
Rental,Departamento,ZAPOPAN,JARDINES DE GUADALUPE,12500.0,,,,
Rental,Departamento,ZAPOPAN,CIUDAD GRANJA,22000.0,,,,
Rental,Casa,ZAPOPAN,PUERTA DE HIERRO,85000.0,,,,
Rental,Departamento,GUADALAJARA,,22000.0,,,,
Rental,Casa,ZAPOPAN,VILLA UNIVERSITARIA,45000.0,,,,
Rental,Casa,ZAPOPAN,QUINTAS DEL VALLE,11600.0,,,,
Rental,Departamento,ZAPOPAN,LAS ARBOLEDAS,6900.0,,,,
Rental,Departamento,ZAPOPAN,VALLE REAL,36001.0,,,,
Rental,Casa,GUADALAJARA,MONUMENTAL,24000.0,,,,
Rental,Departamento,GUADALAJARA,PRADOS PROVIDENCIA,14500.0,,,,
Rental,Departamento,GUADALAJARA,OBRERA,22000.0,,,,
Rental,Departamento,ZAPOPAN,LA PALMITA,15000.0,,,,
Rental,Casa,ZAPOPAN,,13900.0,,,,
Rental,Departamento,GUADALAJARA,AMERICANA,22000.0,,,,
Rental,Departamento,GUADALAJARA,SAN ANDRES,8500.0,,,,
Rental,Departamento,ZAPOPAN,,11950.0,,,,
Rental,Departamento,GUADALAJARA,SANTA RITA,5000.0,,,,
Rental,Departamento,GUADALAJARA,LADRON DE GUEVARA,21000.0,,,,
Rental,Departamento,GUADALAJARA,VALLARTA NORTE,23000.0,,,,
